ID;Cim;Ajanlatkérõ;Nyertes;Ár;Konzorciumi tagokra számolt ár;CRI;URL
13187;"Szent István Közgazdasági Szakközépiskola és Kollégium (1095 Budapest, Mester u. 56.-58.) bõvítés, tornaterem építése berendezési tárgyakkal kiegészítõ építési munkák";Budapest Fõváros Önkormányzata;Progress-B'90 Építõipari és Fõvállalkozó Zártkörûen Mûködõ Részvénytársaság;34000000;34000000;0.53;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_34619_2010
13312;Intézményi felújítás 2 telephelyen;Budapest Fõváros Önkormányzatának Fõvárosi Gyermekvédelmi Intézmények Gazdasági Szervezete;LIGETSOR-BAU Korlátolt Felelõsségû Társaság;1687999;1687999;0.10;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_33657_2010
13313;Intézményi felújítás 2 telephelyen;Budapest Fõváros Önkormányzatának Fõvárosi Gyermekvédelmi Intézmények Gazdasági Szervezete;GATISA Építõipari és Szolgáltató Betéti Társaság;2412460;2412460;0.11;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_33657_2010
13342;Nem önkormányzati fenntartású közoktatási intézmények törvényességi ellenõrzése;Budapest Fõváros Önkormányzata;ÖNKONET Szolgáltató és Tanácsadó Kft.;6800000;6800000;0.16;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_34326_2010
13454;Papír, irodaszer, nyomtatvány beszerzés a Belváros-Lipótváros Budapest Fõváros V. kerület Önkormányzat Polgármesteri Hivatala valamint intézményei részére;Belváros -Lipótváros Budapest Fõváros V. Ker. Önkormányzata;PBS-HUNGÁRIA PAPIR, IRODA ÉS IROSZER KERESKEDELMI KFT;23014707;23014707;0.05;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_33490_2010
13455;Papír, irodaszer, nyomtatvány beszerzés a Belváros-Lipótváros Budapest Fõváros V. kerület Önkormányzat Polgármesteri Hivatala valamint intézményei részére;Belváros -Lipótváros Budapest Fõváros V. Ker. Önkormányzata;I-COM Iroda - Kommunikáció Kereskedelmi és Szolgáltató Korlátolt Felelõsségû Társaság;1561341;1561341;0.18;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_33490_2010
13741;"Ingatlan értékbecslési szolgáltatások ellátása Budapest Fõváros Önkormányzata részére";Budapest Fõváros Önkormányzata;PÁTRIA CONSULT Gazdasági Tanácsadó és Vagyonkezelõ Zártkörûen Mûködõ Részvénytársaság;0;0;-1;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_33672_2010
13742;"Ingatlan értékbecslési szolgáltatások ellátása Budapest Fõváros Önkormányzata részére";Budapest Fõváros Önkormányzata;Budapesti Városfejlesztési és Városrehabilitációs Vagyonkezelõ Zártkörûen Mûködõ Részvénytársaság;0;0;-1;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_33672_2010
13755;Segítõ Kéz Gondozó Szolgálat 1. sz. Gondozási Központ épületfelújítási munkálatainak kivitelezése;Budapest Fõváros XIX. Kerület Kispest Önkormányzat;TARNA INVEST ÉPITÖIPARI SZERVEZÖ ÉS KIVITELEZÖ KFT;21338020;21338020;0.08;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_34596_2010
13774;Egyesített Szociális Intézmények mûködését támogató informatikai rendszer tárgyú közbeszerzési eljárásban tájékoztató az eljárás eredményérõl;Budapest Fõváros XI.Kerület Újbuda Önkormányzata;PYNG SYSTEM Szoftverfejlesztõ és Kereskedelmi Korlátolt Felelõsségû Társaság;2745000;2745000;0.17;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_34946_2010
13816;JVÖ-Orczy park õrzés-védelmi feladatainak ellátása-táj.elj.eredményérõl;Budapest Fõváros VIII. Kerület Józsefvárosi Önkormányzat;ESCORT VÉDELMI SZOLGÁLAT SZOLGÁLTATO KFT;1190000;1190000;0.32;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_27248_2010
13825;"Idõsek Otthona (Dózsa György út.) telephelyek kiváltása, létesítése tervezõi mûvezetõi feladatok ellátása;Budapest Fõváros Önkormányzata;Stummer és Kühn Építészek Szolgáltató Korlátolt Felelõsségû Társaság;0;0;0.13;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_28507_2010
13838;JVÖ-MNPII.-keret-negyedéves tájékoztató;Budapest Fõváros VIII. Kerület Józsefvárosi Önkormányzat;Market Építõ Zártkörûen Mûködõ Részvénytársaság;298513744;298513744;0.38;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_30270_2010
13839;JVÖ- épület fejlesztés és energiaracionalizálás-negyedéves tájékoztató;Budapest Fõváros VIII. Kerület Józsefvárosi Önkormányzat;Építõ-és épületkarbantartó Zártkörûen Mûködõ Részvénytársaság;460000000;460000000;0.19;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_30398_2010
13890;Terézváros / Karácsonyi Díszkivilágítás / Kbt. 252.§(1)c) - rendk.sürg-hird.nélk.tárgy / ERTAJEK KÉ;Budapest Fõváros VI. Kerület Terézváros Önkormányzata;KATAZOL KERESKEDELMI ÉS SZOLGÁLTATO KFT;25990000;25990000;0.29;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_33904_2010
13988;Budapest X. kerület Kõbányai Önkormányzat közigazgatási területére helyi építési szabályzat és szabályozási terv egyes területegységekre történõ készítése a dokumentációban jelöltek szerint. -Eredmény;Budapest Fõváros X. Kerület Kõbányai Önkormányzat;BUDAPEST FÖVÁROS VÁROSÉPITÉSI TERVEZÖ KFT /BFVT KFT/;11740000;11740000;0.11;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_32328_2010
13989;Budapest X. kerület Kõbányai Önkormányzat közigazgatási területére helyi építési szabályzat és szabályozási terv egyes területegységekre történõ készítése a dokumentációban jelöltek szerint. -Eredmény;Budapest Fõváros X. Kerület Kõbányai Önkormányzat;BUDAPEST FÖVÁROS VÁROSÉPITÉSI TERVEZÖ KFT /BFVT KFT/;5740000;5740000;0.08;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_32328_2010
14041;Budapest XVI. kerület Diófa u. vízelöntését megakadályozó szikkasztó berendezések építése;Budapest Fõváros XVI.Kerület Önkormányzat;SWIETELSKY Magyarország Korlátolt Felelõsségû Társaság;4058587;4058587;0.55;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_33824_2010
14042;Budapest XVI. kerület Locsoló u. és Kétlovas u. vízelöntését megakadályozó szikkasztó berendezések építése;Budapest Fõváros XVI.Kerület Önkormányzat;SWIETELSKY Magyarország Korlátolt Felelõsségû Társaság;6464011;6464011;0.55;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_33829_2010
14067;Budapest, XIX. kerület Dobó K. u. 18. sz. alatt létesítendõ Forrásház Gondozási Központ kivitelezése;Budapest Fõváros XIX. Kerület Kispest Önkormányzat;Fõv-2 Építõipari és Beruházó Zártkörûen Mûködõ Részvénytársaság;279641127;279641127;0.30;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_34281_2010
14068;Megbízási szerzõdés;Budapest Fõváros XIX. Kerület Kispest Önkormányzat;MÉRNÖKMÛHELY KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG;5000000;5000000;0.15;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_34282_2010
14119;Budapest XVI. kerületi burkolat-felújítások 3.;Budapest Fõváros XVI.Kerület Önkormányzat;SWIETELSKY Magyarország Korlátolt Felelõsségû Társaság;22895959;22895959;0.01;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_31976_2010
14122;Budapest XVI. kerületben Cinkota fõterének kialakítása;Budapest Fõváros XVI.Kerület Önkormányzat;EVERLING Építõ,Termelõ és Szolgáltató Korlátolt Felelõsségû Társaság;79418069;79418069;0.04;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_32093_2010
14123;Budapest XVI. kerületi önerõs útépítések XXV.;Budapest Fõváros XVI.Kerület Önkormányzat;SWIETELSKY Magyarország Korlátolt Felelõsségû Társaság;44644791;44644791;0.04;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_32099_2010
14124;Budapest XVI. kerületi önerõs útépítések XXV.;Budapest Fõváros XVI.Kerület Önkormányzat;SWIETELSKY Magyarország Korlátolt Felelõsségû Társaság;36877768;36877768;0.04;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_32099_2010
14170;Személygépjármûvek beszerzése;Budapest Fõváros Önkormányzata;FERIHEGY-AUTÓ KERESKEDELMI KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG;6392000;6392000;0.16;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_29039_2010
14171;Személygépjármûvek beszerzése;Budapest Fõváros Önkormányzata;FERIHEGY-AUTÓ KERESKEDELMI KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG;12624000;12624000;0.16;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_29039_2010
14208;JVÖ-Magdolna utca 24.  bontása-tájékoztató;Budapest Fõváros VIII. Kerület Józsefvárosi Önkormányzat;EURO NOVO Építõipari, Kereskedelmi és Szolgáltató Korlátolt Felelõsségû Társaság;19280000;19280000;0.23;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_33061_2010
14209;JVÖ-Szerdahelyi utca 17.bontása-tájékoztató;Budapest Fõváros VIII. Kerület Józsefvárosi Önkormányzat;EURO NOVO Építõipari, Kereskedelmi és Szolgáltató Korlátolt Felelõsségû Társaság;18820000;18820000;0.23;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_33064_2010
14266;Karácsonyi csomag összeállítása és házhoz szállítása Terézvárosban;Budapest Fõváros VI. Kerület Terézváros Önkormányzata;ULRICH TRADE KERESKEDELMI KFT;13380800;13380800;0.23;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_33148_2010
14377;Budapest XVI. kerületi önerõs útépítések XXIV.;Budapest Fõváros XVI.Kerület Önkormányzat;Penta Kft;51043933;51043933;0.13;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_31302_2010
14447;Szent Imre Kórház Regionális Egészségügyi Központ rekonstrukció II. ütem kiegészítõ építési munkák 2. ütem;Budapest Fõváros Önkormányzata;Magyar Építõ Zártkörûen Mûködõ Részvénytársaság;170000000;170000000;0.53;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_33151_2010
14448;Uzsoki utcai Kórház regionális egészségügyi központ rekonstrukció II. ütem - kiegészítõ építõipari munkák;Budapest Fõváros Önkormányzata;HÉROSZ Építõipari Zártkörûen Mûködõ Részvénytársaság;120300622;120300622;0.53;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_33156_2010
14452;Budapest XVI. Kerületi Önkormányzat fenntartásában lévõ általános iskolák részére iskolatej szállítása 2010. szeptembertõl;Budapest Fõváros XVI.Kerület Önkormányzat;Alföldi Tej Értékesítõ és Beszerzõ Korlátolt Felelõsségû Társaság;0;0;-1;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_33661_2010
14455;JVÖ-Szállítási keretszerzõdés irodaszerek beszerzésére-táj.elj.eredményérõl;Budapest Fõváros VIII. Kerület Józsefvárosi Önkormányzat;Tintapaca Kereskedelmi és Szolgáltató Korlátolt Felelõsségû Társaság;0;0;0.10;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_25979_2010
14460;Tájékoztató az eljárás eredményérõl - Óbuda-Békásmegyer Önkormányzat Polgármesteri Hivatla dolgozói számára Cafetéria utalványok biztosítására szállítási szerzõdés megkötése;Budapest Fõváros III. Kerületi Óbuda-Békásmegyer Önkormányzat Polgármesteri Hivatala;LE CHÉQUE DÉJEUNER ÉTKEZÉSI UTALVÁNY GYÁRTO ÉS FORGALMAZO KFT;30975000;30975000;0.19;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_27813_2010
14461;Tájékoztató az eljárás eredményérõl - Óbuda-Békásmegyer Önkormányzat Polgármesteri Hivatla dolgozói számára Cafetéria utalványok biztosítására szállítási szerzõdés megkötése;Budapest Fõváros III. Kerületi Óbuda-Békásmegyer Önkormányzat Polgármesteri Hivatala;LE CHÉQUE DÉJEUNER ÉTKEZÉSI UTALVÁNY GYÁRTO ÉS FORGALMAZO KFT;1102000;1102000;0.08;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_27813_2010
14462;Tájékoztató az eljárás eredményérõl - Óbuda-Békásmegyer Önkormányzat Polgármesteri Hivatla dolgozói számára Cafetéria utalványok biztosítására szállítási szerzõdés megkötése;Budapest Fõváros III. Kerületi Óbuda-Békásmegyer Önkormányzat Polgármesteri Hivatala;SODEXO PASS HUNGÁRIA Kft;0;0;0.08;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_27813_2010
14463;Tájékoztató az eljárás eredményérõl - Óbuda-Békásmegyer Önkormányzat Polgármesteri Hivatla dolgozói számára Cafetéria utalványok biztosítására szállítási szerzõdés megkötése;Budapest Fõváros III. Kerületi Óbuda-Békásmegyer Önkormányzat Polgármesteri Hivatala;SODEXO PASS HUNGÁRIA Kft;843000;843000;0.08;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_27813_2010
14480;Budapest Fõváros Integrált Városfejlesztési Stratégia (korábban Podmaniczky Program) elõrehaladásának értékelése;Budapest Fõváros Önkormányzata;Pécs2010 Menedzsmentközpont Közhasznú Nonprofit Korlátolt Felelõsségû Társaság;1753950;1753950;0.12;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_28708_2010
14582;Felújítás, fûtéskorszerûsítés, állagmegóvás - építési beruházás beszerzés;Budapest Fõváros XV. Kerület Rákospalota, Pestújhely, Újpalota Önkormányzata;HABAG Építõipari és Kereskedelmi Korlátolt Felelõsségû Társaság;24985712;24985712;0.23;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_32486_2010
14598;Parkfenntartás Terézvárosban;Budapest Fõváros VI. Kerület Terézváros Önkormányzata;FÖKERT PARKFENNTARTO-KERTÉSZETI ÉS SZOLGÁLTATO KFT;8663570;8663570;0.12;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_32649_2010
14599;Parkfenntartás Terézvárosban;Budapest Fõváros VI. Kerület Terézváros Önkormányzata;FÖKERT PARKFENNTARTO-KERTÉSZETI ÉS SZOLGÁLTATO KFT;6573970;6573970;0.13;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_32649_2010
14679;Budapest Fõváros XV. kerületi PH tetõfelújítási munkái - tájékoztató az eljárás eredményérõl;Budapest Fõváros XV. Kerület Rákospalota, Pestújhely, Újpalota Önkormányzata;ÉPSERVTERV Tervezõ és Kivitelezõ Korlátolt Felelõsségû Társaság;5714312;5714312;0.12;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_30293_2010
14687;A Diadal Úti Általános Iskola épületének energiahatékonyságot növelõ célú felújításával, korszerûsítésével kapcsolatos pótmunkák elvégzése (KEOP-5.3.0/A/09-2010-0130.;Budapest Fõváros XVII. Kerület Rákosmente Önkormányzata;STYL-BAU ÉPITÕIPARI EXPORT KFT.;14800000;14800000;0.55;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_31992_2010
14720;Budapest XVI. Kerületi Önkormányzat Polgármesteri Hivatal egyes irodáinak felújítása;Budapest Fõváros XVI.Kerület Önkormányzat;PRECIZ Épületgépészeti, Építészeti Szolgáltató Kft.;7469632;7469632;0.13;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_32836_2010
14749;Eljárás eredményérõl szóló tájékoztató (õrzésvédelem, 2010-2012.);Budapest Fõváros XV. Kerület Rákospalota, Pestújhely, Újpalota Önkormányzat Károly Róbert Kereskedelmi Szakközépiskola, Szakiskola, Általános Iskola És Óvoda;Top Cop Security Vagyonvédelmi és Szolgáltató Zártkörûen Mûködõ Részvénytársaság;22320504;22320504;0.14;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_27997_2010
14806;Budapest XVI. kerület Andócs téri játszótér építése;Budapest Fõváros XVI.Kerület Önkormányzat;TÜNDÉRKERT'97 KERTÉSZETI ÉS SZOLGÁLTATO KFT;19145438;19145438;0.40;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_31555_2010
14841;Háziorvosi rendelõk felújítása Budapest XI. kerület Gazdagréti lakótelepen;Budapest Fõváros XI.Kerület Újbuda Önkormányzata;MORPHEUS'48'ÉPÍTÉSI,KERESKEDELMI ÉS SZOLGÁLTATÓ KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG;0;0;0.05;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_31808_2010
14868;"Budapest XXI. Csepeli gerincút kiépítése (I. ütem) tárgyú projekt keretében a 2. részfeladat "Budapest XXI. Budafoki úti csapadékvíz csatorna kivitelezési munkái tárgyában megkötött szerzõdésben nem szereplõ, kiegészítõ;Budapest Fõváros Önkormányzata;Penta Kft;69950021;69950021;0.55;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_33038_2010
14870;JVÖ-személyfelvonó és lépcsõjáró kivitelezése-tájékoztató;Budapest Fõváros VIII. Kerület Józsefvárosi Önkormányzat;Építõ-és épületkarbantartó Zártkörûen Mûködõ Részvénytársaság;15950000;15950000;0.20;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_33055_2010
14892;Kós Károly Középiskolai Kollégium rekonstrukciójával összefüggõ kiviteli tervek elkészítése és tervezõi mûvezetõi feladatainak ellátása;Budapest Fõváros Önkormányzata;SI Építésziroda Korlátolt Felelõsségû Társaság;14000000;14000000;0.53;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_27958_2010
